pre_root_id,post_root_id,neuropil,syn_count,nt_type
720575940626661501,720575940611403493,SMP_R,5.0,GLUT
720575940611430513,720575940626828304,SMP_R,20.0,GLUT
720575940646735156,720575940617071372,SMP_R,2.0,DA
720575940623001480,720575940622965765,SMP_R,5.0,ACH
720575940636997744,720575940626111619,SMP_R,73.0,ACH
720575940616195412,720575940628842240,SMP_R,15.0,ACH
720575940652214262,720575940622865577,SMP_R,8.0,ACH
720575940625741287,720575940626603594,SMP_R,3.0,GABA
720575940623609067,720575940611477683,SMP_R,6.0,ACH
720575940629607273,720575940626315010,SMP_R,21.0,GABA
720575940625741287,720575940629127927,SMP_R,3.0,GABA
720575940616073506,720575940634274458,SMP_R,8.0,GLUT
720575940625709401,720575940615166111,SMP_R,16.0,GLUT
720575940636985822,720575940620203781,SMP_R,1.0,ACH
720575940624430060,720575940626315010,SMP_R,20.0,GABA
720575940625751589,720575940612630434,SMP_R,20.0,GLUT
720575940627384049,720575940623356651,SMP_R,6.0,ACH
720575940628360506,720575940625673708,SMP_R,19.0,GABA
720575940638505798,720575940616042582,SMP_R,10.0,GLUT
720575940613583001,720575940624704002,SMP_R,2.0,GABA
720575940628209212,720575940625934094,SMP_R,2.0,ACH
720575940629791288,720575940630816855,SMP_R,5.0,ACH
720575940619940693,720575940618107527,SMP_R,16.0,ACH
720575940619928581,720575940630046524,SMP_R,2.0,ACH
720575940635507960,720575940629846265,SMP_R,3.0,GABA
720575940636997744,720575940627109116,SMP_R,6.0,ACH
720575940652214262,720575940612488142,SMP_R,10.0,ACH
720575940633094113,720575940623217577,SMP_R,24.0,ACH
720575940628504081,720575940618715550,SMP_R,9.0,SER
720575940611128782,720575940622425028,SMP_R,8.0,ACH
720575940618682782,720575940625440100,SMP_R,23.0,GLUT
720575940624983054,720575940612572131,SMP_R,9.0,ACH
720575940623003405,720575940626000016,SMP_R,5.0,ACH
720575940624233933,720575940625926693,SMP_R,5.0,ACH
720575940625741287,720575940627540209,SMP_R,11.0,GABA
720575940622999688,720575940617786525,SMP_R,39.0,ACH
720575940636571534,720575940613073960,SMP_R,9.0,ACH
720575940611477683,720575940621031006,SMP_R,15.0,ACH
720575940614758806,720575940633142498,SMP_R,5.0,ACH
720575940608508484,720575940618681502,SMP_R,10.0,GLUT
720575940619686593,720575940606373321,SMP_R,8.0,GLUT
720575940605625958,720575940619134789,SMP_R,38.0,ACH
720575940611755157,720575940619134789,SMP_R,62.0,ACH
720575940616072221,720575940619025780,SMP_R,6.0,ACH
